,non_dc_emdr60.mrc,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr27.mrc,non_dc_emdr87.mrc,non_dc_emdr82.mrc
dc_emdr9344.mrc,0.00%,29.97%,0.01%,0.40%,2.07%,0.00%,0.00%,3.85%
dc_emdr9583.mrc,0.00%,1.98%,0.05%,0.40%,1.88%,0.00%,4.40%,87.11%
dc_emdr8616.mrc,0.32%,0.84%,4.20%,0.04%,92.98%,0.00%,0.00%,0.00%
dc_emdr5876.mrc,90.18%,0.17%,1.06%,0.98%,0.24%,0.00%,0.00%,0.00%
dc_emdr7053.mrc,0.12%,64.61%,0.42%,4.86%,0.00%,88.91%,94.90%,8.11%
dc_emdr8342.mrc,3.17%,0.70%,72.70%,0.00%,1.35%,10.01%,0.00%,0.00%
dc_emdr6862.mrc,0.41%,0.56%,0.58%,90.66%,0.00%,0.00%,0.00%,0.00%
dc_emdr6109.mrc,4.63%,0.00%,19.91%,1.39%,0.20%,0.00%,0.00%,0.00%
