,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr5.mrc,non_dc_emdr4.mrc
dc_emdr4275.mrc,0.00%,2.05%,87.58%,0.17%,0.00%,1.64%
dc_emdr4002.mrc,94.67%,0.00%,0.03%,4.46%,0.00%,4.10%
dc_emdr3396.mrc,1.94%,0.00%,6.51%,0.38%,0.00%,93.92%
dc_emdr6226.mrc,0.01%,0.00%,0.00%,33.85%,0.03%,0.00%
dc_emdr6227.mrc,2.90%,2.12%,0.08%,60.57%,95.00%,0.00%
dc_emdr6522.mrc,0.00%,95.36%,5.39%,0.16%,4.67%,0.00%
