,non_dc_emdr60.mrc,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr82.mrc
dc_emdr6099.mrc,68.91%,0.02%,0.95%,0.54%,0.07%,0.00%
dc_emdr7280.mrc,0.20%,72.41%,0.11%,4.48%,1.81%,12.01%
dc_emdr6991.mrc,0.00%,22.86%,0.19%,0.00%,0.00%,0.00%
dc_emdr8636.mrc,30.52%,2.26%,98.23%,1.72%,97.21%,0.21%
dc_emdr7088.mrc,0.17%,1.65%,0.17%,92.69%,0.00%,0.77%
dc_emdr9882.mrc,0.00%,0.50%,0.04%,0.27%,0.72%,86.70%
