,non_dc_emdr60.mrc,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr82.mrc
dc_emdr23127.mrc,6.01%,0.17%,0.41%,0.03%,95.61%,0.27%
dc_emdr6099.mrc,69.02%,0.02%,0.95%,0.35%,0.07%,0.00%
dc_emdr7280.mrc,0.20%,96.60%,0.37%,4.74%,2.13%,98.56%
dc_emdr21794.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr8636.mrc,24.47%,1.26%,97.45%,0.42%,1.99%,0.12%
dc_emdr7088.mrc,0.17%,1.67%,0.55%,94.23%,0.04%,0.78%
