,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr27.mrc,non_dc_emdr31.mrc
dc_emdr6099.mrc,0.19%,6.25%,0.00%,0.00%
dc_emdr7280.mrc,95.32%,0.76%,9.73%,0.08%
dc_emdr6991.mrc,0.68%,0.15%,84.87%,3.84%
dc_emdr8636.mrc,3.49%,92.56%,5.09%,95.73%
