,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr5.mrc,non_dc_emdr4.mrc
dc_emdr4275.mrc,0.00%,97.42%,92.98%,0.33%,4.67%,1.62%
dc_emdr13322.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr3396.mrc,1.94%,0.00%,6.52%,0.38%,0.00%,93.97%
dc_emdr15804.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr14095.mrc,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
dc_emdr6227.mrc,97.60%,2.12%,0.11%,98.89%,95.04%,4.10%
