,non_dc_emdr60.mrc,non_dc_emdr3.mrc,non_dc_emdr2.mrc,non_dc_emdr0.mrc,non_dc_emdr1.mrc,non_dc_emdr27.mrc,non_dc_emdr87.mrc,non_dc_emdr82.mrc
dc_emdr23127.mrc,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%
dc_emdr6099.mrc,90.36%,0.17%,1.07%,0.98%,0.24%,0.00%,0.00%,0.00%
dc_emdr7280.mrc,0.12%,95.07%,0.48%,5.29%,2.07%,97.27%,95.27%,13.18%
dc_emdr21794.mrc,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%,0.00%
dc_emdr8636.mrc,7.83%,0.53%,96.09%,1.45%,1.61%,2.17%,0.00%,0.00%
dc_emdr7088.mrc,0.41%,0.56%,0.58%,91.01%,0.00%,0.00%,0.00%,1.03%
dc_emdr9882.mrc,0.00%,1.99%,0.05%,0.40%,1.88%,0.00%,4.40%,85.16%
dc_emdr8911.mrc,0.32%,0.84%,0.95%,0.04%,93.34%,0.00%,0.00%,0.00%
