,Name,sort,get_region,region sort,smooth 0,density updated0,merged0,smooth 1,density updated1,merged1,smooth 2,density updated2,merged2,smooth 3,density updated3,merged3,smooth 4,density updated4,merged4,smooth 5,density updated5,merged5,smooth 6,density updated6,merged6,smooth 7,density updated7,merged7,smooth 8,density updated8,merged8,
0,mrcfiles/emd4297.mrc,0 days 00:00:00.000191000,0 days 00:00:00.000004000,0 days 00:00:00.003208000,0 days 00:00:00.098302000,0 days 00:00:00.003937000,0 days 00:00:21.948349000,0 days 00:00:00.084806000,0 days 00:00:00.001811000,0 days 00:00:05.512081000,0 days 00:00:00.086621000,0 days 00:00:00.001114000,0 days 00:00:01.333713000,0 days 00:00:00.084938000,0 days 00:00:00.000490000,0 days 00:00:00.366014000,0 days 00:00:00.088788000,0 days 00:00:00.000232000,0 days 00:00:00.128341000,0 days 00:00:00.086194000,0 days 00:00:00.000123000,0 days 00:00:00.084589000,0 days 00:00:00.090789000,0 days 00:00:00.000062000,0 days 00:00:00.026936000,0 days 00:00:00.083691000,0 days 00:00:00.000038000,0 days 00:00:00.045151000,0 days 00:00:00.089065000,0 days 00:00:00.000022000,0 days 00:00:00.023547000,0
,,,0.004,3.208,98.3,3.94,21948.34,84.8,1.81,5512.08,86.6,1.114,1333.7,84.94,0.49,366,88.8,0.232,128.34,86.2,0.12,84.59,90.8,0.062,26.9,83.6,0.038,45.2,89.1,0.022,23.55,30249.33
