,Name,read data,sorted,get_region,region sort,smooth0,density updated0,merged_total0,find_max0,update_rId0,smooth1,density updated1,merged_total1,find_max1,update_rId1,smooth2,density updated2,merged_total2,find_max2,update_rId2,smooth3,density updated3,merged_total3,find_max3,update_rId3,smooth4,density updated4,merged_total4,find_max4,update_rId4,smooth5,density updated5,merged_total5,find_max5,update_rId5,smooth6,density updated6,merged_total6,find_max6,update_rId6,smooth7,density updated7,merged_total7,find_max7,update_rId7,smooth8,density updated8,merged_total8,find_max8,update_rId8,smooth9,density updated9,merged_total9,find_max9,update_rId9,
0,mrcfiles/emd4297.mrc,0 days 00:00:10.478503000,0 days 00:00:10.717820000,0 days 00:02:58.075186000,0 days 00:00:00.005729000,0 days 00:00:00.092509000,0 days 00:00:00.009285000,0 days 00:02:31.321478000,0 days 00:00:00.021675000,0 days 00:00:00.000011000,0 days 00:00:00.090505000,0 days 00:00:00.004586000,0 days 00:00:35.882936000,0 days 00:00:00.010618000,0 days 00:00:00.000014000,0 days 00:00:00.087987000,0 days 00:00:00.002351000,0 days 00:00:08.589366000,0 days 00:00:00.005022000,0 days 00:00:00.000015000,0 days 00:00:00.085210000,0 days 00:00:00.001222000,0 days 00:00:02.182783000,0 days 00:00:00.002449000,0 days 00:00:00.000009000,0 days 00:00:00.084472000,0 days 00:00:00.000724000,0 days 00:00:00.589310000,0 days 00:00:00.001232000,0 days 00:00:00.000388000,0 days 00:00:00.085090000,0 days 00:00:00.000295000,0 days 00:00:00.199782000,0 days 00:00:00.000711000,0 days 00:00:00.000138000,0 days 00:00:00.086410000,0 days 00:00:00.000202000,0 days 00:00:00.082984000,0 days 00:00:00.000371000,0 days 00:00:00.000073000,0 days 00:00:00.087184000,0 days 00:00:00.000084000,0 days 00:00:00.054672000,0 days 00:00:00.000209000,0 days 00:00:00.001337000,0 days 00:00:00.087463000,0 days 00:00:00.000046000,0 days 00:00:00.166452000,0 days 00:00:00.000105000,0 days 00:00:00.011391000,0 days 00:00:00.090244000,0 days 00:00:00.000029000,0 days 00:00:00.023822000,0 days 00:00:00.000067000,0 days 00:00:00.000060000,
,,,,178,0.0057,0.0925,0.00929,151,0.0217,0.000011,0.091,0.0046,35.88,0.011,0.000014,0.088,0.0024,8.59,0.005,0.000015,0.085,0.00122,2.18,0.0024,0.000009,0.084,0.00072,0.589,0.0012,0.000388,0.085,0.0003,0.2,0.00071,0.00014,0.086,0.0002,0.083,0.00037,0.000073,0.087,0.000084,0.055,0.0002,0.0013,0.087,0.000046,0.166,0.0001,0.011,0.09,0.00003,0.024,0.000067,0.00006,199.722847
