,Name,sort,get_region,region sort,smooth 0,density updated0,merged0,smooth 1,density updated1,merged1,smooth 2,density updated2,merged2,smooth 3,density updated3,merged3,smooth 4,density updated4,merged4,smooth 5,density updated5,merged5,smooth 6,0.55,merged6,smooth 7,density updated7,merged7,smooth 8,density updated8,merged8,smooth 9,density updated9,merged9,
0,mrcfiles/emd0339.mrc,0 days 00:00:00.011080000,0 days 00:00:00.035884000,0 days 00:00:00.010601000,0 days 00:00:00.287891000,0 days 00:00:00.008711000,0 days 00:01:33.159113000,0 days 00:00:00.290573000,0 days 00:00:00.004506000,0 days 00:00:22.479394000,0 days 00:00:00.283473000,0 days 00:00:00.002205000,0 days 00:00:05.514087000,0 days 00:00:00.284256000,0 days 00:00:00.001004000,0 days 00:00:01.489089000,0 days 00:00:00.279253000,0 days 00:00:00.000524000,0 days 00:00:00.719165000,0 days 00:00:00.281642000,0 days 00:00:00.000256000,0 days 00:00:00.546925000,0 days 00:00:00.283085000,0 days 00:00:00.000134000,0 days 00:00:00.264175000,0 days 00:00:00.297268000,0 days 00:00:00.000073000,0 days 00:00:00.746849000,0 days 00:00:00.290230000,0 days 00:00:00.000041000,0 days 00:00:00.121680000,0 days 00:00:00.265692000,0 days 00:00:00.000023000,0 days 00:00:00.052773000,
,,,0.036,0.01,0.288,0.009,93.16,0.29,0.0045,22.48,0.28,0.002,5.51,0.284,0.001,1.49,0.28,0.0005,0.72,0.28,0.0002,0.55,0.28,0.00013,0.264,0.3,0.000073,0.747,0.29,0.00004,0.12,0.27,0.00002,0.05,127.946463
